,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,2.01,93,100,6.69,US,1658877943
1,talaya,61.3833,152.75,12.11,84,100,2.4,RU,1658877944
2,coquimbo,-29.9533,-71.3436,12.85,94,20,2.57,CL,1658877672
3,cape town,-33.9258,18.4232,12.29,91,40,1.03,ZA,1658877741
4,edson,53.5835,-116.4356,26.08,34,40,2.06,CA,1658877944
5,ilulissat,69.2167,-51.1,7.01,93,100,3.09,GL,1658877945
6,mayo,38.8876,-76.5119,26.23,83,100,2.06,US,1658877945
7,katsuura,35.1333,140.3,27.44,85,77,6.56,JP,1658877945
8,rocha,-34.4833,-54.3333,16.21,96,98,2.16,UY,1658877946
9,constitucion,-35.3333,-72.4167,11.16,93,94,2.85,CL,1658877946
10,peterhead,57.5058,-1.7981,12.5,85,16,2.93,GB,1658877947
11,cabo san lucas,22.8909,-109.9124,34.78,54,20,6.69,MX,1658877930
12,saskylakh,71.9167,114.0833,22.08,67,42,4.02,RU,1658877947
13,rikitea,-23.1203,-134.9692,24.05,72,60,4.98,PF,1658877947
14,nome,64.5011,-165.4064,8.42,76,100,8.23,US,1658877948
15,jamestown,42.097,-79.2353,23.92,54,0,4.12,US,1658877948
16,qaanaaq,77.484,-69.3632,6.24,67,17,1.88,GL,1658877894
17,saint-philippe,-21.3585,55.7679,18.77,84,30,4.79,RE,1658877948
18,innisfail,-17.5333,146.0333,21.21,80,64,3.53,AU,1658877949
19,bethel,41.3712,-73.414,27.05,53,0,3.09,US,1658877754
20,vaini,-21.2,-175.2,22.99,73,100,5.79,TO,1658877949
21,altamira,-3.2033,-52.2064,25.84,65,98,1.56,BR,1658877950
22,dingle,10.9995,122.6711,26.42,89,68,2.24,PH,1658877950
23,karpathos,35.507,27.2132,23.98,83,0,11.83,GR,1658877950
24,bluff,-46.6,168.3333,7.11,90,100,9.5,NZ,1658877950
25,lethem,3.3803,-59.7968,25.39,86,90,2.35,GY,1658877951
26,tonj,7.2737,28.6822,21.14,96,99,2.98,SS,1658877951
27,gerardmer,48.0735,6.8779,16.91,73,78,0.73,FR,1658877951
28,alim,9.5649,122.4876,27.9,79,74,1.54,PH,1658877952
29,sovetskiy,61.3614,63.5842,10.41,68,39,2.1,RU,1658877952
30,shimoda,34.6667,138.95,30.06,86,78,3.33,JP,1658877952
31,magadan,59.5667,150.8,20.85,84,100,2.25,RU,1658877953
32,kirkland lake,48.1446,-80.0377,24.16,43,73,1.57,CA,1658877953
33,severo-kurilsk,50.6789,156.125,12.78,81,96,2.53,RU,1658877953
34,aykhal,66.0,111.5,22.5,67,58,4.35,RU,1658877954
35,vardo,70.3705,31.1107,13.99,94,75,4.63,NO,1658877954
36,upernavik,72.7868,-56.1549,3.23,90,83,4.69,GL,1658877954
37,punta arenas,-53.15,-70.9167,-0.94,86,0,4.12,CL,1658877955
